,campaign_id,campaign_name,Submission Date,Description,Campaign Objectives,KPIs,Placement(s),StartDate,EndDate,Serving Location(s),Black/white/audience list included?,Cost Centre,Currency,Buy Rate (CPE),Volume Agreed,Gross Cost/Budget,Agency Fee,Percentage,Flat Fee,Net Cost
10,fh6n9r2,Ralph Lauren Eyewear | Sensory Video | CPM,21/09/2021 18:29,"Hey Team, see the live campaign details below. 

 - Launch Date: Thursday 9/30/2021
 - Asset Due Date: In-hand
 - Unit Type: Pre-roll
 - Budget: Pro Bono
 - Campaign Objective: Promotion of the Pink Pony campaign",Video Views,"VTR
Completion Rate",Pre-roll,30/09/2021,31/10/2021,United States,No black/white/audience list for this campaign,USA,USD,0.0,125000.0,0.0,Flat Fee,Not Avaliable,Not Available,0.0
11,cgzhgf9,Ralph Lauren Eyewear | Sensory Video | CPM AV,21/09/2021 18:29,"Hey Team, see the live campaign details below. 

 - Launch Date: Thursday 9/30/2021
 - Asset Due Date: In-hand
 - Unit Type: Pre-roll
 - Budget: Pro Bono
 - Campaign Objective: Promotion of the Pink Pony campaign",Video Views,"VTR
Completion Rate",Pre-roll,30/09/2021,31/10/2021,United States,No black/white/audience list for this campaign,USA,USD,0.0,125000.0,0.0,Flat Fee,Not Avaliable,Not Available,0.0
12,cosp3zs,HEINEKEN_FESTIVE_2020_12_SG,10/11/2020 05:52,"**DESIGN SECTION**

Storyboard Stage : 
1 storyboard was sent. They upped their budget to SGD 20k so they can have 2. They're asking for 2 storyboards, and if they can receive it by 12th of Nov. Let me know if the 12th is possible, if not I'll let them know its short notice for 2!  

Discussion Recap : 
These are the flows they would like for the 2 storyboards: 

Rich Media format 1: Engagement + Conversion
Proposed copy: Tap and hold for the exclusive Christmas present
Landing page: Lead to Redmart 24-can promo pack landing page
SKU Feature: Feature Heineken 24-can + foldable ice bucket promo pack with copy “Free Heineken Foldable Ice Bucket with every purchase of Heineken 24-can pack”


Rich Media format 2: Engagement only + Conversion
Proposed copy: Tap and hold to unlock festive deals
Landing page: Lead to Redmart Heineken main landing page (with all SKUs)
SKU Feature: Few main SKUs. Either show Heineken Original can & Heineken 0.0 can OR show Heineken Original 6-can & Heineken 0.0 6-can & Heineken 24-can promo pack  

Campaign Assets (Visuals, Videos, Brand Guidelines, Fonts, etc) :
https://lion.box.com/s/v7gq6807fuobqcw4v2wlx0wv7owl5sk3

For format 2, the packs we need to feature would be the Festive 24can promo pack, Original 6-can pack and 0.0 6can pack.

You can also find the packshot for Original and 0.0 single cans in the following link if you want to add in more product shots - https://we.tl/t-XeRk3VBu6r
-Festive 24-can promo pack (link above)
-Original 6s sleek can
-0.0 6s
-Original single can (optional)
-0.0 single can (optional)

Reference Links :
https://www2.heineken.com/sg/agegateway?returnurl=%2fsg

**CAMPAIGN SECTION**

Campaign Budget & Currency, CPE Rate, Engagements, Country : 
Budget: SGD 20,000.00
Currency: SGD 
CPE: 0.49
Engagements: 55,222
Country: SG

Campaign Period :
1/12/2020-31/12/2020

Ad Sizes :
Full Screen + MPU

Audience Targeting :
P18+, Beer Drinkers, Bar Goers/Socialisers, Shoppers

Whitelist :
N/A

Brand Safety :
Applied

Brand Impact Optimizer :
Yes. 1x.","Brand Awareness
Product Awareness
Message Recall
Sentiment / Favourability
Consideration / Purchase Intent
Drive Traffic (to site)
Audience Engagement",Engagement Rate,"320x480 (Fullscreen mobile / interstitial)
300x250 (MPU)",01/12/2020,31/12/2020,Singapore,No black/white/audience list for this campaign,SGP,SGD,0.49,55222.0,27058.78,Percentage,15.0,Not Available,22999.96
13,cosp3zs,HEINEKEN_FESTIVE_2020_12_SG,10/11/2020 22:49,"**DESIGN SECTION**

Storyboard Stage :
1 storyboard was sent. They upped their budget to SGD 20k so they can have 2. They're asking for 2 storyboards, and if they can receive it by 12th of Nov. Let me know if the 12th is possible, if not I'll let them know its short notice for 2!  

Discussion Recap :
These are the flows they would like for the 2 storyboards:

Rich Media format 1: Engagement + Conversion
Proposed copy: Tap and hold for the exclusive Christmas present
Landing page: Lead to Redmart 24-can promo pack landing page
SKU Feature: Feature Heineken 24-can + foldable ice bucket promo pack with copy “Free Heineken Foldable Ice Bucket with every purchase of Heineken 24-can pack”


Rich Media format 2: Engagement only + Conversion
Proposed copy: Tap and hold to unlock festive deals
Landing page: Lead to Redmart Heineken main landing page (with all SKUs)
SKU Feature: Few main SKUs. Either show Heineken Original can & Heineken 0.0 can OR show Heineken Original 6-can & Heineken 0.0 6-can & Heineken 24-can promo pack  

Campaign Assets (Visuals, Videos, Brand Guidelines, Fonts, etc) :

They have provided assets for both creatives: 

https://lion.box.com/s/v7gq6807fuobqcw4v2wlx0wv7owl5sk3

For format 2, the packs we need to feature would be the Festive 24can promo pack, Original 6-can pack and 0.0 6can pack.

You can also find the packshot for Original and 0.0 single cans in the following link if you want to add in more product shots - https://we.tl/t-XeRk3VBu6r
-Festive 24-can promo pack (link above)
-Original 6s sleek can
-0.0 6s
-Original single can (optional)
-0.0 single can (optional)

Reference Links :
https://www2.heineken.com/sg/agegateway?returnurl=%2fsg

**CAMPAIGN SECTION**

Campaign Budget & Currency, CPE Rate, Engagements, Country :
Budget: SGD 20,000.00
Currency: SGD
CPE: 0.49
Engagements: 55,222
Country: SG

Campaign Period :
1/12/2020-31/12/2020

Ad Sizes :
Full Screen + MPU

Audience Targeting :
P18+, Beer Drinkers, Bar Goers/Socialisers, Shoppers

Whitelist :
N/A

Brand Safety :
Applied

Brand Impact Optimizer :
Yes. 1x.","Brand Awareness
Product Awareness
Message Recall
Sentiment / Favourability
Consideration / Purchase Intent
Drive Traffic (to site)
Audience Engagement",Engagement Rate,"320x480 (Fullscreen mobile / interstitial)
300x250 (MPU)",01/12/2020,31/12/2020,Singapore,No black/white/audience list for this campaign,SGP,SGD,0.49,55222.0,27058.78,Percentage,15.0,Not Available,22999.96
14,i8hnl9c,HEINEKEN_PURE MALT_2021_03_SG,16/02/2021 21:37,"Storyboard Stage : 
Storyboard sent and would like to be replicated! 

Discussion Recap : 
Interactive hotspots storyboard to be executed. 

Campaign Assets (Visuals, Videos, Brand Guidelines, Fonts, etc) :
https://lion.app.box.com/s/lzqjh4eta6yrwvwp95sohry87m53gf81

Reference Links :
https://www.apbsingapore.com.sg/heineken/
---

**CAMPAIGN SECTION**

Campaign Budget & Currency, CPE Rate, Engagements, Country : 
Budget: SGD 30,000
Currency: SGD 
CPE Rate: SGD 0.43
Engagements: 91929 (inclusive of 9850 as bonus) 
Country: SG


Campaign Period :
1st March - 31st March 

Ad Sizes :
(Full-Screen 320x480 & MPU 200x250)

Audience Targeting :
P 18+, Beer Drinkers, Socialisers/Bar Go-ers, Shoppers

Whitelist :
N/A

Brand Safety :
Applied

Brand Impact Optimizer :
1x.

EXTRA NOTE:* The client would like to measure the dwell time on each hotspot to check if users click through them and get the info.","Brand Awareness
Product Awareness
Message Recall
Sentiment / Favourability
Consideration / Purchase Intent
Drive Traffic (to site)
Audience Engagement",Engagement Rate,"320x480 (Fullscreen mobile / interstitial)
300x250 (MPU)",01/03/2021,31/03/2021,Singapore,No black/white/audience list for this campaign,SGP,SGD,0.43,91929.0,39529.47,Percentage,15.0,Not Available,33600.05
15,y7nfoz9,IHOP 2021 Off-Premise Evergreen | Sensory Plus | CPC - CPE Algo,11/05/2021 16:38,"Hi design - 

This campaign will utilize previous units. Posted below for reference. 

 - Cart Abandoners Fullscreen: https://wat.adludio.com/games/dff1fa78f727220315a8d92da3ca9ab3/81f9ac8e65335271bfce/index.html
 - Cart Abandoners MPU: https://wat.adludio.com/games/140322a887f50a9fb74141771658e1ae/4e7859c8cd6e34a8d9fb/index.html
 - Staying In Days Fullscreen: https://wat.adludio.com/games/27008403cef62d8fc77148b2914642e6/329e50fdb6b57ba51c9d/index.html
 - Staying In Days MPU: https://wat.adludio.com/games/446db52936385e944fd83c79b274f580/64570da3afa20482e958/index.html","Drive Traffic (to site)
Conversion (sales, downloads)","CTR
Conversion Rate",320x480 (Fullscreen mobile / interstitial),17/05/2021,31/12/2021,US National,No black/white/audience list for this campaign,USA,USD,0.33,500000.0,165000.0,Percentage,0.0,Not Available,165000.0
16,mf3kq5u,IHOP IHOPPY Hour 2021 | Lunch-Dinner Visitors | Sensory Plus | CPC,02/09/2021 17:14,"Hi design, resubmitting the IHOPPY Hour campaign as it is a live campaign

 - Unit Type: Sensory Plus
 - Budget: 100K
 - Creative Status: demo building phase
 - No. of Concepts: 4
  - 1 National Offer: IHOPPY HOUR $5 Menu
  - 1 No Offer: Hop on in (burgers)
  - 2 Standard Offers: 5 Off 25 AND 20% off your check
 - Campaign Objective: drive traffic","Drive Traffic (to site)
Conversion (sales, downloads)",Conversion Rate,"320x480 (Fullscreen mobile / interstitial)
300x250 (MPU)",23/09/2021,31/12/2021,US national,Black/white/audience list will be provided later,USA,GBP,Not Avaliable,Not Avaliable,Not Avaliable,Percentage,15.0,Not Available,0.0
17,cysy2bd,IHOP IHOPPY Hour 2021 | Breakfast Visitors | Sensory Plus | CPC AV,02/09/2021 17:14,"Hi design, resubmitting the IHOPPY Hour campaign as it is a live campaign

 - Unit Type: Sensory Plus
 - Budget: 100K
 - Creative Status: demo building phase
 - No. of Concepts: 4
  - 1 National Offer: IHOPPY HOUR $5 Menu
  - 1 No Offer: Hop on in (burgers)
  - 2 Standard Offers: 5 Off 25 AND 20% off your check
 - Campaign Objective: drive traffic","Drive Traffic (to site)
Conversion (sales, downloads)",Conversion Rate,"320x480 (Fullscreen mobile / interstitial)
300x250 (MPU)",23/09/2021,31/12/2021,US national,Black/white/audience list will be provided later,USA,GBP,Not Avaliable,Not Avaliable,Not Avaliable,Percentage,15.0,Not Available,0.0
18,irqqm1w,IHOP IHOPPY Hour 2021 | Breakfast Visitors | Sensory Plus | CPC,02/09/2021 17:14,"Hi design, resubmitting the IHOPPY Hour campaign as it is a live campaign

 - Unit Type: Sensory Plus
 - Budget: 100K
 - Creative Status: demo building phase
 - No. of Concepts: 4
  - 1 National Offer: IHOPPY HOUR $5 Menu
  - 1 No Offer: Hop on in (burgers)
  - 2 Standard Offers: 5 Off 25 AND 20% off your check
 - Campaign Objective: drive traffic","Drive Traffic (to site)
Conversion (sales, downloads)",Conversion Rate,"320x480 (Fullscreen mobile / interstitial)
300x250 (MPU)",23/09/2021,31/12/2021,US national,Black/white/audience list will be provided later,USA,GBP,Not Avaliable,Not Avaliable,Not Avaliable,Percentage,15.0,Not Available,0.0
19,efdas0o,IHOP IHOPPY Hour 2021 | Lunch-Dinner Visitors | Sensory Plus | CPC AV,02/09/2021 17:14,"Hi design, resubmitting the IHOPPY Hour campaign as it is a live campaign

 - Unit Type: Sensory Plus
 - Budget: 100K
 - Creative Status: demo building phase
 - No. of Concepts: 4
  - 1 National Offer: IHOPPY HOUR $5 Menu
  - 1 No Offer: Hop on in (burgers)
  - 2 Standard Offers: 5 Off 25 AND 20% off your check
 - Campaign Objective: drive traffic","Drive Traffic (to site)
Conversion (sales, downloads)",Conversion Rate,"320x480 (Fullscreen mobile / interstitial)
300x250 (MPU)",23/09/2021,31/12/2021,US national,Black/white/audience list will be provided later,USA,GBP,Not Avaliable,Not Avaliable,Not Avaliable,Percentage,15.0,Not Available,0.0
20,1o4g61w,IHOP IHOPPY Hour 2021 | IHOP OLO Converter RTG & LAL | Sensory Plus | CPC AV,02/09/2021 17:14,"Hi design, resubmitting the IHOPPY Hour campaign as it is a live campaign

 - Unit Type: Sensory Plus
 - Budget: 100K
 - Creative Status: demo building phase
 - No. of Concepts: 4
  - 1 National Offer: IHOPPY HOUR $5 Menu
  - 1 No Offer: Hop on in (burgers)
  - 2 Standard Offers: 5 Off 25 AND 20% off your check
 - Campaign Objective: drive traffic","Drive Traffic (to site)
Conversion (sales, downloads)",Conversion Rate,"320x480 (Fullscreen mobile / interstitial)
300x250 (MPU)",23/09/2021,31/12/2021,US national,Black/white/audience list will be provided later,USA,GBP,Not Avaliable,Not Avaliable,Not Avaliable,Percentage,15.0,Not Available,0.0
21,vrev678,IHOP IHOPPY Hour 2021 | IHOP OLO Converter RTG & LAL | Sensory Plus | CPC,02/09/2021 17:14,"Hi design, resubmitting the IHOPPY Hour campaign as it is a live campaign

 - Unit Type: Sensory Plus
 - Budget: 100K
 - Creative Status: demo building phase
 - No. of Concepts: 4
  - 1 National Offer: IHOPPY HOUR $5 Menu
  - 1 No Offer: Hop on in (burgers)
  - 2 Standard Offers: 5 Off 25 AND 20% off your check
 - Campaign Objective: drive traffic","Drive Traffic (to site)
Conversion (sales, downloads)",Conversion Rate,"320x480 (Fullscreen mobile / interstitial)
300x250 (MPU)",23/09/2021,31/12/2021,US national,Black/white/audience list will be provided later,USA,GBP,Not Avaliable,Not Avaliable,Not Avaliable,Percentage,15.0,Not Available,0.0
22,xtqs95v,IHOP Window 4 2021 Fall-Halloween | Competitor Conquesting | Sensory Plus | CPC,03/09/2021 00:18,"Hi design team, resubmitting this ticket now that we have confirmed IHOP W4 live status,

 - Unit Type: Sensory Plus
 - Budget: 32k
 - Creative Status: storyboard building phase
 - No. of Concepts: 1 Sensory Plus unit + 1 creative refresh
  - Unit 1 Sensory Plus (full flight except for 10/21-10/29): Reese's Pieces fall special pancake. This unit should look very similar to all IHOP sensory plus units we've done (IHOPPY and W2 Steakhouse), please consult the attached asset for imagery inspiration.
  - Unit 1.1 Sensory Plus (flight 10/21-10/29): Halloween scary face pancake. The client is requesting us to rotate in the scary face pancake imagery for the aforementioned dates. Asset also provided in the attached file.
 - Campaign Objective: drive traffic, foot traffic conversion","Drive Traffic (to site)
Conversion (sales, downloads)",Conversion Rate,"320x480 (Fullscreen mobile / interstitial)
300x250 (MPU)",13/09/2021,31/10/2021,US national,Black/white/audience list will be provided later,USA,USD,Not Avaliable,Not Avaliable,Not Avaliable,Percentage,15.0,Not Available,0.0
23,lqcvfm0,Milk It | CPE AV | January-March | All Units,26/02/2020 16:04,"Hey Kentaro - Below is the creative info for the Milk It! 2020 initiative. 

 - GDrive link here (https://drive.google.com/drive/folders/1um-yHUSZ0s3_14zomlOJLaqUgip0tjCB?usp=sharing)
 - Launch Date:04.01.20
 - Asset Due Date: 03.12.20
 - Storyboard 1 Due Date: TBD
 - Placements: Fullscreen & MPU
 - Unit Type: High Impact Sensory Unit Gamified
 - Budget: $100k
 - No. of Concepts: 3 concepts
 - Campaign Objective: Increase awareness of the milk it! Campaign – making milk culturally relevant again and encourage kids to drink (more of) it now so that they retain loyalty and stay milk drinkers for life.

**ASSETS / CREATIVE DIRECTION:**

 - No. of Concepts: 3 concepts (all gamified)
 - Align with 3 tentpole events
  - Earth Day
  - Olympic Trials
  - Halloween",Brand Awareness,"CTR
Engagement Rate",320x480 (Fullscreen mobile / interstitial),01/04/2020,31/10/2020,"National, US",No black/white/audience list for this campaign,USA,USD,0.45,222222.0,99999.9,Percentage,0.0,Not Available,99999.9
24,qccvyu0,Yamaha | Wolverine RMAX 1000 | Sensory User Choice | AV - CPE Algo,23/09/2020 22:00,"Hey Kentaro - Below is the info for the Yamaha Wolverine RMAX 2020 campaign. 

 - Flight: 10/1 - 12/31 (will confirm if fluid launch)
 - Budget: $50k
 - 2 concepts (3 units total on plan)
  - User choice
  - Sensory Plus
 - Updated assets: (https://gearshiftads.app.box.com/s/bbf1dj2kf1s0ehs5grs44wbbimawqug9)
 - Client Feedback from RFP:
  - As much as I love the concept, I’m not 100% sold on the creative/imagery. And that has less to do with your team and more to do with the limited files we had. BUT we just received more files that could allow for more creative flexibility: See asset link above
  - You’ll find PSD files and images that can be used to create a 360. Can you have your creative take a look and see if they can come up with other creative versions? As a reminder, we’ll want to focus on RMAX2 and RMAX4 and LE (Limited Edition) models. For the PSD files, we would love to incorporate the split lifestyle/terrain theme. As for the 360, the client loves anytime that can be featured –maybe in the part where they choose between the 2 and 4 seater? I know it requires more work in the backend so I’ll defer to you and your team on the feasibility of making that happen
 - New creative mocks due 9/25. Let's keep them storyboards for now until client is aligned on the concepts.","Brand Awareness
Product Awareness
Consideration / Purchase Intent
Conversion (sales, downloads)","CTR
Conversion Rate
Engagement Rate",320x480 (Fullscreen mobile / interstitial),01/10/2020,31/12/2020,Dealership List provided,No black/white/audience list for this campaign,USA,USD,0.3,166666.67,50000.0,Percentage,0.0,Not Available,50000.0
25,xo0r9pc,Yamaha RMAX2 Q4 2021 | Sensory Plus | CPC,06/10/2021 15:04,"RFP stage ticket for reference: https://trello.com/c/QIh6AmFf/702-yamaha-q4-wolverine-rmax2-1000-sport-09-29-2021-0500-usa-under-72hrs-non-standard

Hi Ivy! Resubmitting this ticket for live campaign set-up. The creative details are as follows:

 - Product: Yamaha Wolverine RMAX2 1000 Sport
 - Unit Type: 1 sensory engagement, 2 sensory plus 
 - Budget: 80k
 - No. of Concepts: 3
 - Additional Details: 
  - sensory engagement - User Slider - horizontal splt screen btwn separate terrains. CTA: ""Learn More""
  - sensory plus 1 - looping 360 animation similar to RMAX Wolverine. CTA: ""Learn More""
  - sensory plus 2 - carousel of lifestyle photography. CTA ""Learn More""

Please see client response to storyboards in the comment section!","Brand Awareness
Product Awareness
Drive Traffic (to site)
Reach",CTR,"320x480 (Fullscreen mobile / interstitial)
300x250 (MPU)",12/10/2021,31/12/2021,US (dealership list to be provided),Black/white/audience list will be provided later,USA,USD,Not Avaliable,Not Avaliable,Not Avaliable,Percentage,15.0,Not Available,0.0
26,zqb4z95,Hulu Solar Opposites S2 | Sensory Video | CPM AV,01/03/2021 12:57,"Hey Kentaro - Here is the live ticket for the Solar Opposites S2 campaign.

 - Flight: 3/15 - 4/11
 - Budget: $150k
 - Concepts: 2x concepts
  - Pre-roll video w/interactive overlay
  - ""Swipe Up"" sensory video unit
 - KOC deck linked here for reference (https://drive.google.com/file/d/1F3DKFKZMNmyYc-LltNaFT6bY8meHIJva/view?usp=sharing)","Brand Awareness
Drive Traffic (to site)
Audience Engagement","CTR
Engagement Rate",320x480 (Fullscreen mobile / interstitial),15/03/2021,11/04/2021,US National,Black/white/audience list will be provided later,USA,USD,13.0,0.0,0.0,Percentage,0.0,Not Available,0.0
